**Sh#** | **Sh** | **Time** | **In** | **Scene** | **Description** | **Title** | **Time** | **In** | **Time** | **Out** | **Dur** | **Titles**
 |  |  |  | Stuck | in the cave all day, |  |  |  |  |  |  | 
66 | 01:03:18:21 |  |  | FS - | STACEY AND JACK ACT ON |  |  |  |  |  |  | 
 |  |  |  | THE | STAGE |  |  |  |  |  |  | 
67 | 01:03:20:20 |  |  | MS - | STACEY SHRUGS | 45 | 01:03:21:03 |  | 01:03:22:21 |  | 01:18 | cooking your sabre tooth stew.
 |  |  |  | cooking | your sabre tooth stew. |  |  |  |  |  |  | 
68 | 01:03:22:10 |  |  | MWS | - JACK ACTS | 46 | 01:03:22:23 |  | 01:03:24:14 |  | 01:15 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | Oi, fellas,
 |  |  |  | JACK: |  |  |  |  |  |  |  | does this sound familiar?
 |  |  |  | Oi, fellas, |  |  |  |  |  |  |  | 
 |  |  |  | does | this sound familiar? |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 5
69 | 01:03:24:15 |  |  | MWS | - STACEY OPENS THE BOX. | 47 | 01:03:24:16 |  | 01:03:27:12 |  | 02:20 | CLEO:
 |  |  |  | JACK | WATCHES |  |  |  |  |  |  | This is an Amazonian bird-eating
 |  |  |  |  |  |  |  |  |  |  |  | spider.
 |  |  |  | CLEO: |  |  |  |  |  |  |  | 
 |  |  |  | This | is an Amazonian bird-eating |  |  |  |  |  |  | 
 |  |  |  | spider. |  |  |  |  |  |  |  | 
70 | 01:03:29:04 |  |  | MS - | JACK SPEAKS TO STACEY | 48 | 01:03:29:05 |  | 01:03:30:23 |  | 01:18 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | Looks like your
 |  |  |  | JACK: |  |  |  |  |  |  |  | furry little friend
 |  |  |  | Looks | like your |  |  |  |  |  |  | 
 |  |  |  | furry | little friend |  |  |  |  |  |  | 
71 | 01:03:30:16 |  |  | FS - | STACEY LOOKS AT JACK | 49 | 01:03:31:01 |  | 01:03:32:04 |  | 01:03 | might have gotten
 |  |  |  |  |  |  |  |  |  |  |  | a better offer.
 |  |  |  | might | have gotten |  |  |  |  |  |  | 
 |  |  |  | a better | offer. |  |  |  |  |  |  | 
 |  |  |  |  |  | 50 | 01:03:32:06 |  | 01:03:33:08 |  | 01:02 | [audience member screams]
 |  |  |  | [audience | member screams] |  |  |  |  |  |  | 
72 | 01:03:32:09 |  |  | MS - | STACEY LOOKS OVER. JACK | 51 | 01:03:33:10 |  | 01:03:34:12 |  | 01:02 | GUS:
 |  |  |  | WATCHES |  |  |  |  |  |  |  | Don't panic, I got it, Jack.
 |  |  |  | GUS: |  |  |  |  |  |  |  | 
 |  |  |  | Don't | panic, I got it, Jack. |  |  |  |  |  |  | 
73 | 01:03:33:19 |  |  | FS - | A WOMAN SCREAMS. GUS | 52 | 01:03:34:14 |  | 01:03:35:08 |  | 00:18 | I got it. Excuse me, sir.
 |  |  |  | RUSHES | OVER TO HER |  |  |  |  |  |  | 
 |  |  |  | I got | it. Excuse me, sir. |  |  |  |  |  |  | 
74 | 01:03:34:23 |  |  | FS - | JACK AND STACEY WATCH | 53 | 01:03:35:10 |  | 01:03:37:05 |  | 01:19 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | Gus.
 |  |  |  | JACK: |  |  |  |  |  |  |  | NARRATOR (VO):
 |  |  |  | Gus. |  |  |  |  |  |  |  | Five nights a week
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | Five | nights a week |  |  |  |  |  |  | 
75 | 01:03:36:00 |  |  | FS - | GUS RUNS AFTER A MOUSE | 54 | 01:03:37:07 |  | 01:03:38:22 |  | 01:15 | Jack helps an anxious nation
 |  |  |  | Jack | helps an anxious nation |  |  |  |  |  |  | 
 |  |  |  |  |  | 55 | 01:03:39:00 |  | 01:03:40:02 |  | 01:02 | forget its troubles.
 |  |  |  | forget | its troubles. |  |  |  |  |  |  | 
76 | 01:03:39:04 |  |  | MCU | - JACK LAUGHS | 56 | 01:03:40:04 |  | 01:03:41:19 |  | 01:15 | GUS (OS):
 |  |  |  |  |  |  |  |  |  |  |  | It’s climbing Jack.
 |  |  |  | GUS | (OS): |  |  |  |  |  |  | It’s climbing.
 |  |  |  | It’s climbing | Jack. |  |  |  |  |  |  | 
 |  |  |  | It’s climbing. |  |  |  |  |  |  |  | 
77 | 01:03:41:21 |  |  | MWS | - JACK SIGNS A PAPER AND | 57 | 01:03:41:21 |  | 01:03:45:19 |  | 03:22 | NARRATOR (VO):
 |  |  |  | SHAKES | HANDS WITH WALKER |  |  |  |  |  |  | In November, 1972,
 |  |  |  |  |  |  |  |  |  |  |  | Jack inks a five-year deal
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | In November, | 1972, | 58 | 01:03:45:21 |  | 01:03:48:10 |  | 02:13 | with UBC owner Walker
 |  |  |  | Jack | inks a five-year deal |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Bedford.
 |  |  |  | with | UBC owner Walker Bedford. |  |  |  |  |  |  | 
